areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
E92000001,England,nation,06/04/2021,29.3
N92000002,Northern Ireland,nation,06/04/2021,29.7
S92000003,Scotland,nation,06/04/2021,42.7
W92000004,Wales,nation,06/04/2021,18.3
E92000001,England,nation,05/04/2021,30.1
N92000002,Northern Ireland,nation,05/04/2021,30.6
S92000003,Scotland,nation,05/04/2021,43.4
W92000004,Wales,nation,05/04/2021,19.3
E92000001,England,nation,04/04/2021,32.1
N92000002,Northern Ireland,nation,04/04/2021,34.6
S92000003,Scotland,nation,04/04/2021,47.5
W92000004,Wales,nation,04/04/2021,20.9
E92000001,England,nation,03/04/2021,36.3
N92000002,Northern Ireland,nation,03/04/2021,37.7
S92000003,Scotland,nation,03/04/2021,49.4
W92000004,Wales,nation,03/04/2021,21.8
E92000001,England,nation,02/04/2021,38.1
N92000002,Northern Ireland,nation,02/04/2021,41.2
S92000003,Scotland,nation,02/04/2021,51.4
W92000004,Wales,nation,02/04/2021,22.7
E92000001,England,nation,01/04/2021,40.8
N92000002,Northern Ireland,nation,01/04/2021,44.3
S92000003,Scotland,nation,01/04/2021,53.8
W92000004,Wales,nation,01/04/2021,25.5
E92000001,England,nation,31/03/2021,43.6
N92000002,Northern Ireland,nation,31/03/2021,48.5
S92000003,Scotland,nation,31/03/2021,56.7
W92000004,Wales,nation,31/03/2021,28.9
E92000001,England,nation,30/03/2021,47.1
N92000002,Northern Ireland,nation,30/03/2021,50.9
S92000003,Scotland,nation,30/03/2021,59.4
W92000004,Wales,nation,30/03/2021,31.5
E92000001,England,nation,29/03/2021,49.6
N92000002,Northern Ireland,nation,29/03/2021,52.9
S92000003,Scotland,nation,29/03/2021,63.2
W92000004,Wales,nation,29/03/2021,32.3
E92000001,England,nation,28/03/2021,53
N92000002,Northern Ireland,nation,28/03/2021,54.9
S92000003,Scotland,nation,28/03/2021,66.3
W92000004,Wales,nation,28/03/2021,34.6
E92000001,England,nation,27/03/2021,53.4
N92000002,Northern Ireland,nation,27/03/2021,56
S92000003,Scotland,nation,27/03/2021,68.2
W92000004,Wales,nation,27/03/2021,35.8
E92000001,England,nation,26/03/2021,54.1
N92000002,Northern Ireland,nation,26/03/2021,56
S92000003,Scotland,nation,26/03/2021,69.5
W92000004,Wales,nation,26/03/2021,37.8
E92000001,England,nation,25/03/2021,55
N92000002,Northern Ireland,nation,25/03/2021,55.7
S92000003,Scotland,nation,25/03/2021,70.7
W92000004,Wales,nation,25/03/2021,38.6
E92000001,England,nation,24/03/2021,55.1
N92000002,Northern Ireland,nation,24/03/2021,55.6
S92000003,Scotland,nation,24/03/2021,70.3
W92000004,Wales,nation,24/03/2021,39.3
E92000001,England,nation,23/03/2021,54.7
N92000002,Northern Ireland,nation,23/03/2021,54.2
S92000003,Scotland,nation,23/03/2021,71.4
W92000004,Wales,nation,23/03/2021,39
E92000001,England,nation,22/03/2021,55.4
N92000002,Northern Ireland,nation,22/03/2021,55.6
S92000003,Scotland,nation,22/03/2021,70.8
W92000004,Wales,nation,22/03/2021,39.7
E92000001,England,nation,21/03/2021,55.9
N92000002,Northern Ireland,nation,21/03/2021,55.8
S92000003,Scotland,nation,21/03/2021,71
W92000004,Wales,nation,21/03/2021,39.6
E92000001,England,nation,20/03/2021,54.3
N92000002,Northern Ireland,nation,20/03/2021,55.6
S92000003,Scotland,nation,20/03/2021,70.6
W92000004,Wales,nation,20/03/2021,40.2
E92000001,England,nation,19/03/2021,54.4
N92000002,Northern Ireland,nation,19/03/2021,56.5
S92000003,Scotland,nation,19/03/2021,70.7
W92000004,Wales,nation,19/03/2021,41.4
E92000001,England,nation,18/03/2021,55.3
N92000002,Northern Ireland,nation,18/03/2021,58.9
S92000003,Scotland,nation,18/03/2021,71.5
W92000004,Wales,nation,18/03/2021,42.3
E92000001,England,nation,17/03/2021,55.6
N92000002,Northern Ireland,nation,17/03/2021,59.5
S92000003,Scotland,nation,17/03/2021,73.5
W92000004,Wales,nation,17/03/2021,42.6
E92000001,England,nation,16/03/2021,55.8
N92000002,Northern Ireland,nation,16/03/2021,62.6
S92000003,Scotland,nation,16/03/2021,74
W92000004,Wales,nation,16/03/2021,43.2
E92000001,England,nation,15/03/2021,56.7
N92000002,Northern Ireland,nation,15/03/2021,63.4
S92000003,Scotland,nation,15/03/2021,75.5
W92000004,Wales,nation,15/03/2021,42.7
E92000001,England,nation,14/03/2021,56.9
N92000002,Northern Ireland,nation,14/03/2021,66
S92000003,Scotland,nation,14/03/2021,73.6
W92000004,Wales,nation,14/03/2021,44.6
E92000001,England,nation,13/03/2021,56.8
N92000002,Northern Ireland,nation,13/03/2021,68.5
S92000003,Scotland,nation,13/03/2021,73.4
W92000004,Wales,nation,13/03/2021,44.2
E92000001,England,nation,12/03/2021,57.3
N92000002,Northern Ireland,nation,12/03/2021,69
S92000003,Scotland,nation,12/03/2021,73.7
W92000004,Wales,nation,12/03/2021,43.6
E92000001,England,nation,11/03/2021,57.2
N92000002,Northern Ireland,nation,11/03/2021,67.3
S92000003,Scotland,nation,11/03/2021,71.5
W92000004,Wales,nation,11/03/2021,41.2
E92000001,England,nation,10/03/2021,57.3
N92000002,Northern Ireland,nation,10/03/2021,66.3
S92000003,Scotland,nation,10/03/2021,69.6
W92000004,Wales,nation,10/03/2021,40.3
E92000001,England,nation,09/03/2021,57.5
N92000002,Northern Ireland,nation,09/03/2021,64.5
S92000003,Scotland,nation,09/03/2021,67.2
W92000004,Wales,nation,09/03/2021,40.5
E92000001,England,nation,08/03/2021,58.3
N92000002,Northern Ireland,nation,08/03/2021,65.6
S92000003,Scotland,nation,08/03/2021,64.7
W92000004,Wales,nation,08/03/2021,42.8
E92000001,England,nation,07/03/2021,58.9
N92000002,Northern Ireland,nation,07/03/2021,63.8
S92000003,Scotland,nation,07/03/2021,64
W92000004,Wales,nation,07/03/2021,42.3
E92000001,England,nation,06/03/2021,59.7
N92000002,Northern Ireland,nation,06/03/2021,61.8
S92000003,Scotland,nation,06/03/2021,63.8
W92000004,Wales,nation,06/03/2021,44.3
E92000001,England,nation,05/03/2021,60.4
N92000002,Northern Ireland,nation,05/03/2021,62.5
S92000003,Scotland,nation,05/03/2021,62.6
W92000004,Wales,nation,05/03/2021,43.3
E92000001,England,nation,04/03/2021,62.4
N92000002,Northern Ireland,nation,04/03/2021,64.1
S92000003,Scotland,nation,04/03/2021,63.7
