"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.19424494977292,0.149601427067352,-28.0361292802683,5.89671261563726e-173
"ch_size",0.0400673800808712,0.00328799970427618,12.1859439429881,3.69351806942336e-34
"hh_p_female",-0.017544702407934,0.101137955327594,-0.173472979072053,0.862279665445822
"hh_maj_ethn",-0.185198724365792,0.114733804564261,-1.61416005569715,0.106492713665747
"hh_p_dem",0.380166725407082,0.126316814341328,3.00962882407571,0.00261567127888071
"comm_probable_chg7",0.0270274075922452,0.00524087251145405,5.15704351387602,2.50879517047879e-07
