"Coefficient","base","base_wave","msoa","nat","msoa_wave","msoa_int","nat_wave","nat_int","msoa_lag1","msoa_lag2","msoa_lag1_wave","msoa_lag1_int","msoa_lag2_wave","msoa_lag2_int","nat_lag1","nat_lag2","nat_lag1_wave","nat_lag1_int","nat_lag2_wave","nat_lag2_int"
"wavesecond",NA,"1.01 [0.981, 1.038]; p = 0.5308",NA,NA,"0.52 [0.5, 0.533]; p = 0","0.5 [0.481, 0.525]; p = 0","0.13 [0.122, 0.139]; p = 0","55.85 [44.038, 70.834]; p = 0",NA,NA,"0.57 [0.553, 0.589]; p = 0","0.55 [0.534, 0.577]; p = 0","0.66 [0.638, 0.678]; p = 0","0.63 [0.611, 0.654]; p = 0",NA,NA,"0.16 [0.155, 0.176]; p = 0","105.46 [83.695, 132.882]; p = 0","0.27 [0.255, 0.28]; p = 0","12.65 [10.842, 14.754]; p = 0"
"msoa_roll7",NA,NA,"1.21 [1.207, 1.218]; p = 0",NA,"1.27 [1.265, 1.28]; p = 0","1.27 [1.258, 1.275]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eng_roll7",NA,NA,NA,"1.47 [1.463, 1.481]; p = 0",NA,NA,"2.37 [2.32, 2.422]; p = 0","4.34 [4.183, 4.5]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msoa_roll7:wavesecond",NA,NA,NA,NA,NA,"1.01 [1.001, 1.026]; p = 0.0355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eng_roll7:wavesecond",NA,NA,NA,NA,NA,NA,NA,"0.37 [0.352, 0.382]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag1wk",NA,NA,NA,NA,NA,NA,NA,NA,"1.19 [1.189, 1.2]; p = 0",NA,"1.24 [1.232, 1.245]; p = 0","1.23 [1.223, 1.238]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag2wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16 [1.156, 1.166]; p = 0",NA,NA,"1.19 [1.183, 1.194]; p = 0","1.17 [1.164, 1.177]; p = 0",NA,NA,NA,NA,NA,NA
"msoa_lag1wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.02 [1.006, 1.028]; p = 0.0022",NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag2wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.04 [1.028, 1.048]; p = 0",NA,NA,NA,NA,NA,NA
"eng_lag1wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.49 [1.477, 1.494]; p = 0",NA,"2.19 [2.151, 2.234]; p = 0","4.59 [4.416, 4.762]; p = 0",NA,NA
"eng_lag2wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.44 [1.433, 1.449]; p = 0",NA,NA,"1.83 [1.807, 1.854]; p = 0","2.86 [2.789, 2.926]; p = 0"
"eng_lag1wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.33 [0.318, 0.346]; p = 0",NA,NA
"eng_lag2wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.51 [0.494, 0.521]; p = 0"
